"","controller","condition","item","accuracy","rt","subject","group"
"28","PictureAccept","Unambiguous",2,0,2401,"Native 1","Native"
"44","PictureAccept","Unambiguous",10,1,2273,"Native 1","Native"
"76","PictureAccept","Unambiguous",12,1,2502,"Native 1","Native"
"84","PictureAccept","Unambiguous",8,1,2667,"Native 1","Native"
"92","PictureAccept","Unambiguous",4,1,1857,"Native 1","Native"
"132","PictureAccept","Ambiguous",1,1,2394,"Native 1","Native"
"148","PictureAccept","Ambiguous",3,1,1593,"Native 1","Native"
"152","PictureAccept","Ambiguous",9,0,3146,"Native 1","Native"
"160","PictureAccept","Unambiguous",6,1,1594,"Native 1","Native"
"164","PictureAccept","Ambiguous",5,1,1690,"Native 1","Native"
"168","PictureAccept","Ambiguous",7,1,2364,"Native 1","Native"
"184","PictureAccept","Ambiguous",11,1,1249,"Native 1","Native"
"240","PictureAccept","Unambiguous",9,1,2130,"Native 2","Native"
"252","PictureAccept","Unambiguous",7,1,5141,"Native 2","Native"
"256","PictureAccept","Unambiguous",5,1,1906,"Native 2","Native"
"300","PictureAccept","Ambiguous",8,1,8563,"Native 2","Native"
"320","PictureAccept","Ambiguous",10,1,3326,"Native 2","Native"
"332","PictureAccept","Unambiguous",1,1,4714,"Native 2","Native"
"344","PictureAccept","Ambiguous",12,0,1670,"Native 2","Native"
"368","PictureAccept","Ambiguous",2,1,2325,"Native 2","Native"
"392","PictureAccept","Unambiguous",11,1,1854,"Native 2","Native"
"396","PictureAccept","Ambiguous",6,1,1507,"Native 2","Native"
"432","PictureAccept","Ambiguous",4,1,3703,"Native 2","Native"
"448","PictureAccept","Unambiguous",3,1,928,"Native 2","Native"
"460","PictureAccept","Unambiguous",8,1,1970,"Native 3","Native"
"472","PictureAccept","Ambiguous",3,1,3219,"Native 3","Native"
"492","PictureAccept","Ambiguous",9,0,2915,"Native 3","Native"
"520","PictureAccept","Unambiguous",12,1,1652,"Native 3","Native"
"560","PictureAccept","Unambiguous",2,1,2112,"Native 3","Native"
"572","PictureAccept","Ambiguous",1,1,2168,"Native 3","Native"
"576","PictureAccept","Unambiguous",4,1,1491,"Native 3","Native"
"592","PictureAccept","Unambiguous",6,1,2093,"Native 3","Native"
"600","PictureAccept","Ambiguous",11,1,1350,"Native 3","Native"
"616","PictureAccept","Unambiguous",10,1,1766,"Native 3","Native"
"620","PictureAccept","Ambiguous",7,1,1970,"Native 3","Native"
"668","PictureAccept","Ambiguous",5,1,1440,"Native 3","Native"
"696","PictureAccept","Ambiguous",12,0,1137,"Native 4","Native"
"716","PictureAccept","Ambiguous",10,1,718,"Native 4","Native"
"724","PictureAccept","Ambiguous",2,0,1475,"Native 4","Native"
"744","PictureAccept","Ambiguous",4,1,1347,"Native 4","Native"
"764","PictureAccept","Unambiguous",5,1,751,"Native 4","Native"
"768","PictureAccept","Unambiguous",11,1,1367,"Native 4","Native"
"772","PictureAccept","Ambiguous",6,0,1402,"Native 4","Native"
"804","PictureAccept","Unambiguous",7,0,1532,"Native 4","Native"
"828","PictureAccept","Unambiguous",3,1,2186,"Native 4","Native"
"844","PictureAccept","Unambiguous",9,1,1207,"Native 4","Native"
"856","PictureAccept","Ambiguous",8,1,1122,"Native 4","Native"
