"","controller","condition","item","rt","NA","subject","group"
"1425","DashedSentence","Ambiguous",3,4409,"FALSE","Native 7","Native"
"1429","DashedSentence","Ambiguous",11,13580,"FALSE","Native 7","Native"
"1437","DashedSentence","Ambiguous",5,5512,"FALSE","Native 7","Native"
"1445","DashedSentence","Ambiguous",7,6634,"FALSE","Native 7","Native"
"1481","DashedSentence","Unambiguous",6,4682,"FALSE","Native 7","Native"
"1521","DashedSentence","Ambiguous",9,4526,"FALSE","Native 7","Native"
"1533","DashedSentence","Unambiguous",4,4812,"FALSE","Native 7","Native"
"1553","DashedSentence","Unambiguous",10,3286,"FALSE","Native 7","Native"
"1557","DashedSentence","Unambiguous",2,3256,"FALSE","Native 7","Native"
"1561","DashedSentence","Unambiguous",12,3360,"FALSE","Native 7","Native"
"1581","DashedSentence","Ambiguous",12,12216,"FALSE","Native 8","Native"
"1597","DashedSentence","Unambiguous",9,5999,"FALSE","Native 8","Native"
"1613","DashedSentence","Unambiguous",7,9816,"FALSE","Native 8","Native"
"1621","DashedSentence","Ambiguous",8,4540,"FALSE","Native 8","Native"
"1673","DashedSentence","Unambiguous",3,4058,"FALSE","Native 8","Native"
"1681","DashedSentence","Ambiguous",4,5881,"FALSE","Native 8","Native"
"1697","DashedSentence","Ambiguous",2,5070,"FALSE","Native 8","Native"
"1717","DashedSentence","Unambiguous",5,3473,"FALSE","Native 8","Native"
"1729","DashedSentence","Unambiguous",11,5177,"FALSE","Native 8","Native"
"1761","DashedSentence","Ambiguous",10,5607,"FALSE","Native 8","Native"
"1769","DashedSentence","Unambiguous",1,3586,"FALSE","Native 8","Native"
"1777","DashedSentence","Ambiguous",6,3393,"FALSE","Native 8","Native"
"1801","DashedSentence","Ambiguous",9,4598,"FALSE","Native 9","Native"
"1805","DashedSentence","Ambiguous",1,7705,"FALSE","Native 9","Native"
"1833","DashedSentence","Unambiguous",10,6393,"FALSE","Native 9","Native"
"1837","DashedSentence","Unambiguous",6,3574,"FALSE","Native 9","Native"
"1853","DashedSentence","Ambiguous",7,3748,"FALSE","Native 9","Native"
"1877","DashedSentence","Unambiguous",2,2952,"FALSE","Native 9","Native"
"1905","DashedSentence","Ambiguous",11,2982,"FALSE","Native 9","Native"
"1929","DashedSentence","Unambiguous",4,2738,"FALSE","Native 9","Native"
"1941","DashedSentence","Unambiguous",12,2899,"FALSE","Native 9","Native"
"1957","DashedSentence","Ambiguous",5,1950,"FALSE","Native 9","Native"
"1961","DashedSentence","Unambiguous",8,1836,"FALSE","Native 9","Native"
"2013","DashedSentence","Ambiguous",3,3339,"FALSE","Native 9","Native"
"2039","DashedSentence","Unambiguous",9,7602,"FALSE","Native 10","Native"
"2047","DashedSentence","Ambiguous",4,10949,"FALSE","Native 10","Native"
"2091","DashedSentence","Ambiguous",6,6313,"FALSE","Native 10","Native"
"2111","DashedSentence","Ambiguous",10,8632,"FALSE","Native 10","Native"
"2127","DashedSentence","Ambiguous",8,6326,"FALSE","Native 10","Native"
"2135","DashedSentence","Unambiguous",1,4338,"FALSE","Native 10","Native"
"2139","DashedSentence","Unambiguous",3,5431,"FALSE","Native 10","Native"
"2147","DashedSentence","Unambiguous",11,4384,"FALSE","Native 10","Native"
"2171","DashedSentence","Unambiguous",7,6169,"FALSE","Native 10","Native"
"2179","DashedSentence","Ambiguous",12,4589,"FALSE","Native 10","Native"
"2195","DashedSentence","Ambiguous",2,8663,"FALSE","Native 10","Native"
"2223","DashedSentence","Unambiguous",5,4679,"FALSE","Native 10","Native"
"2251","DashedSentence","Unambiguous",2,14807,"FALSE","Native 11","Native"
"2307","DashedSentence","Unambiguous",6,5138,"FALSE","Native 11","Native"
"2315","DashedSentence","Ambiguous",7,8389,"FALSE","Native 11","Native"
"2331","DashedSentence","Ambiguous",1,6280,"FALSE","Native 11","Native"
"2339","DashedSentence","Ambiguous",11,3832,"FALSE","Native 11","Native"
"2347","DashedSentence","Ambiguous",5,8925,"FALSE","Native 11","Native"
"2367","DashedSentence","Ambiguous",3,5290,"FALSE","Native 11","Native"
"2387","DashedSentence","Unambiguous",8,3621,"FALSE","Native 11","Native"
"2403","DashedSentence","Unambiguous",10,5475,"FALSE","Native 11","Native"
"2423","DashedSentence","Ambiguous",9,7816,"FALSE","Native 11","Native"
"2443","DashedSentence","Unambiguous",12,7983,"FALSE","Native 11","Native"
"2451","DashedSentence","Unambiguous",4,5310,"FALSE","Native 11","Native"
"2487","DashedSentence","Ambiguous",2,8576,"FALSE","Native 12","Native"
"2503","DashedSentence","Unambiguous",3,6747,"FALSE","Native 12","Native"
"2531","DashedSentence","Unambiguous",1,6590,"FALSE","Native 12","Native"
"2535","DashedSentence","Ambiguous",8,6209,"FALSE","Native 12","Native"
"2547","DashedSentence","Ambiguous",12,6389,"FALSE","Native 12","Native"
"2551","DashedSentence","Ambiguous",4,5758,"FALSE","Native 12","Native"
"2579","DashedSentence","Ambiguous",10,5477,"FALSE","Native 12","Native"
"2583","DashedSentence","Unambiguous",9,5668,"FALSE","Native 12","Native"
"2603","DashedSentence","Ambiguous",6,7641,"FALSE","Native 12","Native"
"2611","DashedSentence","Unambiguous",5,7842,"FALSE","Native 12","Native"
"2675","DashedSentence","Unambiguous",11,4374,"FALSE","Native 12","Native"
"2683","DashedSentence","Unambiguous",7,4932,"FALSE","Native 12","Native"
"2697","DashedSentence","Ambiguous",1,7163,"FALSE","Native 13","Native"
"2717","DashedSentence","Unambiguous",6,3054,"FALSE","Native 13","Native"
"2741","DashedSentence","Ambiguous",7,4065,"FALSE","Native 13","Native"
"2757","DashedSentence","Unambiguous",4,4040,"FALSE","Native 13","Native"
"2785","DashedSentence","Ambiguous",11,2545,"FALSE","Native 13","Native"
"2841","DashedSentence","Ambiguous",5,2787,"FALSE","Native 13","Native"
"2849","DashedSentence","Unambiguous",2,2620,"FALSE","Native 13","Native"
"2861","DashedSentence","Ambiguous",3,5247,"FALSE","Native 13","Native"
"2877","DashedSentence","Unambiguous",12,3548,"FALSE","Native 13","Native"
"2885","DashedSentence","Unambiguous",10,2794,"FALSE","Native 13","Native"
"2901","DashedSentence","Ambiguous",9,3710,"FALSE","Native 13","Native"
"2909","DashedSentence","Unambiguous",8,3155,"FALSE","Native 13","Native"
"2923","DashedSentence","Unambiguous",5,13092,"FALSE","Native 14","Native"
"2947","DashedSentence","Ambiguous",12,11779,"FALSE","Native 14","Native"
"2999","DashedSentence","Ambiguous",10,14571,"FALSE","Native 14","Native"
"3035","DashedSentence","Unambiguous",11,8131,"FALSE","Native 14","Native"
"3051","DashedSentence","Ambiguous",2,5835,"FALSE","Native 14","Native"
"3067","DashedSentence","Unambiguous",9,7650,"FALSE","Native 14","Native"
"3071","DashedSentence","Unambiguous",3,4873,"FALSE","Native 14","Native"
"3083","DashedSentence","Ambiguous",4,7678,"FALSE","Native 14","Native"
"3103","DashedSentence","Unambiguous",7,14206,"FALSE","Native 14","Native"
"3107","DashedSentence","Unambiguous",1,5537,"FALSE","Native 14","Native"
"3119","DashedSentence","Ambiguous",8,9660,"FALSE","Native 14","Native"
"3135","DashedSentence","Ambiguous",6,6150,"FALSE","Native 14","Native"
"3149","DashedSentence","Ambiguous",3,9271,"FALSE","Native 15","Native"
"3153","DashedSentence","Unambiguous",10,8579,"FALSE","Native 15","Native"
"3189","DashedSentence","Ambiguous",7,10330,"FALSE","Native 15","Native"
"3197","DashedSentence","Unambiguous",4,7659,"FALSE","Native 15","Native"
"3213","DashedSentence","Ambiguous",9,8661,"FALSE","Native 15","Native"
"3237","DashedSentence","Unambiguous",8,4564,"FALSE","Native 15","Native"
"3273","DashedSentence","Ambiguous",11,5635,"FALSE","Native 15","Native"
"3297","DashedSentence","Ambiguous",1,5243,"FALSE","Native 15","Native"
"3301","DashedSentence","Unambiguous",12,7230,"FALSE","Native 15","Native"
"3305","DashedSentence","Unambiguous",2,3859,"FALSE","Native 15","Native"
"3317","DashedSentence","Unambiguous",6,4164,"FALSE","Native 15","Native"
"3329","DashedSentence","Ambiguous",5,3120,"FALSE","Native 15","Native"
"3381","DashedSentence","Ambiguous",2,14664,"FALSE","Native 16","Native"
"3397","DashedSentence","Ambiguous",10,8704,"FALSE","Native 16","Native"
"3401","DashedSentence","Ambiguous",6,7201,"FALSE","Native 16","Native"
"3409","DashedSentence","Unambiguous",3,13442,"FALSE","Native 16","Native"
"3425","DashedSentence","Ambiguous",4,6179,"FALSE","Native 16","Native"
"3461","DashedSentence","Unambiguous",11,7098,"FALSE","Native 16","Native"
"3501","DashedSentence","Unambiguous",7,10875,"FALSE","Native 16","Native"
"3505","DashedSentence","Unambiguous",9,4869,"FALSE","Native 16","Native"
"3509","DashedSentence","Ambiguous",8,7093,"FALSE","Native 16","Native"
"3529","DashedSentence","Unambiguous",5,7042,"FALSE","Native 16","Native"
"3537","DashedSentence","Ambiguous",12,6130,"FALSE","Native 16","Native"
"3581","DashedSentence","Unambiguous",1,5747,"FALSE","Native 16","Native"
"3615","DashedSentence","Unambiguous",10,9322,"FALSE","Native 17","Native"
"3619","DashedSentence","Unambiguous",4,7246,"FALSE","Native 17","Native"
"3631","DashedSentence","Ambiguous",5,7690,"FALSE","Native 17","Native"
"3639","DashedSentence","Ambiguous",9,15089,"FALSE","Native 17","Native"
"3647","DashedSentence","Unambiguous",2,5493,"FALSE","Native 17","Native"
"3667","DashedSentence","Unambiguous",8,10614,"FALSE","Native 17","Native"
"3675","DashedSentence","Ambiguous",7,4988,"FALSE","Native 17","Native"
"3679","DashedSentence","Unambiguous",12,7222,"FALSE","Native 17","Native"
"3683","DashedSentence","Ambiguous",1,10187,"FALSE","Native 17","Native"
"3691","DashedSentence","Ambiguous",11,13207,"FALSE","Native 17","Native"
"3727","DashedSentence","Ambiguous",3,4464,"FALSE","Native 17","Native"
"3751","DashedSentence","Unambiguous",6,9672,"FALSE","Native 17","Native"
"3817","DashedSentence","Unambiguous",10,4866,"FALSE","Native 18","Native"
"3853","DashedSentence","Unambiguous",4,4426,"FALSE","Native 18","Native"
"3861","DashedSentence","Ambiguous",1,4609,"FALSE","Native 18","Native"
"3885","DashedSentence","Unambiguous",6,5206,"FALSE","Native 18","Native"
"3889","DashedSentence","Unambiguous",2,3502,"FALSE","Native 18","Native"
"3937","DashedSentence","Ambiguous",3,3217,"FALSE","Native 18","Native"
"3941","DashedSentence","Ambiguous",11,3704,"FALSE","Native 18","Native"
"3965","DashedSentence","Ambiguous",5,4800,"FALSE","Native 18","Native"
"3969","DashedSentence","Unambiguous",8,6461,"FALSE","Native 18","Native"
"3977","DashedSentence","Ambiguous",7,6618,"FALSE","Native 18","Native"
"3985","DashedSentence","Ambiguous",9,6431,"FALSE","Native 18","Native"
"4005","DashedSentence","Unambiguous",12,5586,"FALSE","Native 18","Native"
"4063","DashedSentence","Ambiguous",6,16540,"FALSE","Native 19","Native"
"4091","DashedSentence","Ambiguous",4,14255,"FALSE","Native 19","Native"
"4119","DashedSentence","Unambiguous",5,7766,"FALSE","Native 19","Native"
"4123","DashedSentence","Ambiguous",8,7319,"FALSE","Native 19","Native"
"4127","DashedSentence","Unambiguous",9,7895,"FALSE","Native 19","Native"
"4131","DashedSentence","Unambiguous",1,7587,"FALSE","Native 19","Native"
"4143","DashedSentence","Ambiguous",2,6001,"FALSE","Native 19","Native"
"4151","DashedSentence","Unambiguous",3,4818,"FALSE","Native 19","Native"
"4159","DashedSentence","Unambiguous",7,7865,"FALSE","Native 19","Native"
"4199","DashedSentence","Unambiguous",11,4251,"FALSE","Native 19","Native"
"4215","DashedSentence","Ambiguous",10,9153,"FALSE","Native 19","Native"
"4219","DashedSentence","Ambiguous",12,4448,"FALSE","Native 19","Native"
"4291","DashedSentence","Ambiguous",3,2382,"FALSE","Native 20","Native"
"4335","DashedSentence","Unambiguous",10,3144,"FALSE","Native 20","Native"
"4367","DashedSentence","Unambiguous",2,8123,"FALSE","Native 20","Native"
"4371","DashedSentence","Unambiguous",6,6110,"FALSE","Native 20","Native"
"4375","DashedSentence","Ambiguous",11,8536,"FALSE","Native 20","Native"
"4391","DashedSentence","Ambiguous",5,3023,"FALSE","Native 20","Native"
"4395","DashedSentence","Unambiguous",8,4016,"FALSE","Native 20","Native"
"4399","DashedSentence","Ambiguous",7,3781,"FALSE","Native 20","Native"
"4415","DashedSentence","Unambiguous",12,2286,"FALSE","Native 20","Native"
"4431","DashedSentence","Ambiguous",1,2182,"FALSE","Native 20","Native"
"4443","DashedSentence","Ambiguous",9,3126,"FALSE","Native 20","Native"
"4455","DashedSentence","Unambiguous",4,5963,"FALSE","Native 20","Native"
"4489","DashedSentence","Ambiguous",12,2580,"FALSE","Native 21","Native"
"4521","DashedSentence","Unambiguous",5,2124,"FALSE","Native 21","Native"
"4533","DashedSentence","Unambiguous",9,2142,"FALSE","Native 21","Native"
"4537","DashedSentence","Unambiguous",1,1729,"FALSE","Native 21","Native"
"4549","DashedSentence","Unambiguous",7,3155,"FALSE","Native 21","Native"
"4553","DashedSentence","Ambiguous",6,1859,"FALSE","Native 21","Native"
"4577","DashedSentence","Ambiguous",10,2875,"FALSE","Native 21","Native"
"4633","DashedSentence","Ambiguous",8,1433,"FALSE","Native 21","Native"
"4645","DashedSentence","Ambiguous",4,1992,"FALSE","Native 21","Native"
"4657","DashedSentence","Unambiguous",11,2240,"FALSE","Native 21","Native"
"4681","DashedSentence","Ambiguous",2,1378,"FALSE","Native 21","Native"
"4685","DashedSentence","Unambiguous",3,1844,"FALSE","Native 21","Native"
"4729","DashedSentence","Unambiguous",4,7237,"FALSE","Native 22","Native"
"4733","DashedSentence","Ambiguous",3,14764,"FALSE","Native 22","Native"
"4741","DashedSentence","Ambiguous",1,8289,"FALSE","Native 22","Native"
"4749","DashedSentence","Unambiguous",6,8025,"FALSE","Native 22","Native"
"4757","DashedSentence","Unambiguous",2,9901,"FALSE","Native 22","Native"
"4761","DashedSentence","Unambiguous",10,11909,"FALSE","Native 22","Native"
"4805","DashedSentence","Ambiguous",11,10702,"FALSE","Native 22","Native"
"4849","DashedSentence","Ambiguous",5,11088,"FALSE","Native 22","Native"
"4853","DashedSentence","Unambiguous",12,5478,"FALSE","Native 22","Native"
"4889","DashedSentence","Ambiguous",7,11886,"FALSE","Native 22","Native"
"4901","DashedSentence","Ambiguous",9,6661,"FALSE","Native 22","Native"
"4917","DashedSentence","Unambiguous",8,4986,"FALSE","Native 22","Native"
"4947","DashedSentence","Ambiguous",8,9977,"FALSE","Native 23","Native"
"4963","DashedSentence","Ambiguous",2,4910,"FALSE","Native 23","Native"
"4967","DashedSentence","Unambiguous",5,4100,"FALSE","Native 23","Native"
"4971","DashedSentence","Unambiguous",7,7258,"FALSE","Native 23","Native"
"4999","DashedSentence","Unambiguous",3,10917,"FALSE","Native 23","Native"
"5019","DashedSentence","Unambiguous",11,5577,"FALSE","Native 23","Native"
"5023","DashedSentence","Ambiguous",12,10063,"FALSE","Native 23","Native"
"5047","DashedSentence","Ambiguous",6,6284,"FALSE","Native 23","Native"
"5055","DashedSentence","Unambiguous",1,6468,"FALSE","Native 23","Native"
"5063","DashedSentence","Ambiguous",4,6437,"FALSE","Native 23","Native"
"5131","DashedSentence","Ambiguous",10,12046,"FALSE","Native 23","Native"
"5151","DashedSentence","Unambiguous",9,4397,"FALSE","Native 23","Native"
"5163","DashedSentence","Unambiguous",12,6779,"FALSE","Native 24","Native"
"5175","DashedSentence","Unambiguous",8,4741,"FALSE","Native 24","Native"
"5191","DashedSentence","Ambiguous",5,8096,"FALSE","Native 24","Native"
"5195","DashedSentence","Unambiguous",4,9133,"FALSE","Native 24","Native"
"5211","DashedSentence","Ambiguous",9,9581,"FALSE","Native 24","Native"
"5219","DashedSentence","Unambiguous",10,5978,"FALSE","Native 24","Native"
"5267","DashedSentence","Ambiguous",7,6749,"FALSE","Native 24","Native"
"5271","DashedSentence","Unambiguous",6,7070,"FALSE","Native 24","Native"
"5283","DashedSentence","Ambiguous",1,4020,"FALSE","Native 24","Native"
"5323","DashedSentence","Unambiguous",2,7435,"FALSE","Native 24","Native"
"5335","DashedSentence","Ambiguous",3,8938,"FALSE","Native 24","Native"
"5371","DashedSentence","Ambiguous",11,4931,"FALSE","Native 24","Native"
"5401","DashedSentence","Ambiguous",4,9159,"FALSE","Native 25","Native"
"5421","DashedSentence","Ambiguous",2,10329,"FALSE","Native 25","Native"
"5445","DashedSentence","Unambiguous",5,5286,"FALSE","Native 25","Native"
"5493","DashedSentence","Unambiguous",11,8319,"FALSE","Native 25","Native"
"5517","DashedSentence","Ambiguous",10,9798,"FALSE","Native 25","Native"
"5529","DashedSentence","Ambiguous",8,6988,"FALSE","Native 25","Native"
"5537","DashedSentence","Unambiguous",7,10090,"FALSE","Native 25","Native"
"5541","DashedSentence","Unambiguous",1,5154,"FALSE","Native 25","Native"
"5557","DashedSentence","Unambiguous",3,8161,"FALSE","Native 25","Native"
"5565","DashedSentence","Ambiguous",12,9506,"FALSE","Native 25","Native"
"5581","DashedSentence","Ambiguous",6,9010,"FALSE","Native 25","Native"
"5597","DashedSentence","Unambiguous",9,8863,"FALSE","Native 25","Native"
"5617","DashedSentence","Ambiguous",1,3661,"FALSE","Native 26","Native"
"5621","DashedSentence","Ambiguous",11,3037,"FALSE","Native 26","Native"
"5677","DashedSentence","Ambiguous",3,4453,"FALSE","Native 26","Native"
"5685","DashedSentence","Unambiguous",12,4095,"FALSE","Native 26","Native"
"5701","DashedSentence","Unambiguous",10,5445,"FALSE","Native 26","Native"
"5705","DashedSentence","Unambiguous",6,3355,"FALSE","Native 26","Native"
"5729","DashedSentence","Ambiguous",9,4835,"FALSE","Native 26","Native"
"5741","DashedSentence","Unambiguous",8,4860,"FALSE","Native 26","Native"
"5745","DashedSentence","Ambiguous",7,6960,"FALSE","Native 26","Native"
"5777","DashedSentence","Ambiguous",5,3897,"FALSE","Native 26","Native"
"5801","DashedSentence","Unambiguous",4,4165,"FALSE","Native 26","Native"
"5813","DashedSentence","Unambiguous",2,4317,"FALSE","Native 26","Native"
"5861","DashedSentence","Unambiguous",3,4402,"FALSE","Native 27","Native"
"5873","DashedSentence","Unambiguous",9,10930,"FALSE","Native 27","Native"
"5877","DashedSentence","Unambiguous",7,6414,"FALSE","Native 27","Native"
"5881","DashedSentence","Ambiguous",4,4869,"FALSE","Native 27","Native"
"5893","DashedSentence","Ambiguous",12,2673,"FALSE","Native 27","Native"
"5917","DashedSentence","Ambiguous",10,8993,"FALSE","Native 27","Native"
"5921","DashedSentence","Unambiguous",1,4055,"FALSE","Native 27","Native"
"5929","DashedSentence","Ambiguous",6,2802,"FALSE","Native 27","Native"
"5945","DashedSentence","Unambiguous",11,4467,"FALSE","Native 27","Native"
"5997","DashedSentence","Unambiguous",5,5343,"FALSE","Native 27","Native"
"6009","DashedSentence","Ambiguous",2,7335,"FALSE","Native 27","Native"
"6041","DashedSentence","Ambiguous",8,4778,"FALSE","Native 27","Native"
"6059","DashedSentence","Ambiguous",5,4202,"FALSE","Native 28","Native"
"6103","DashedSentence","Ambiguous",11,7824,"FALSE","Native 28","Native"
"6111","DashedSentence","Ambiguous",1,13198,"FALSE","Native 28","Native"
"6123","DashedSentence","Unambiguous",4,7253,"FALSE","Native 28","Native"
"6135","DashedSentence","Unambiguous",6,5195,"FALSE","Native 28","Native"
"6155","DashedSentence","Unambiguous",8,5998,"FALSE","Native 28","Native"
"6159","DashedSentence","Unambiguous",10,11752,"FALSE","Native 28","Native"
"6203","DashedSentence","Ambiguous",9,6545,"FALSE","Native 28","Native"
"6207","DashedSentence","Ambiguous",7,10774,"FALSE","Native 28","Native"
"6211","DashedSentence","Unambiguous",2,8680,"FALSE","Native 28","Native"
"6215","DashedSentence","Ambiguous",3,10951,"FALSE","Native 28","Native"
"6255","DashedSentence","Unambiguous",12,8354,"FALSE","Native 28","Native"
"6297","DashedSentence","Unambiguous",5,2293,"FALSE","Native 29","Native"
"6309","DashedSentence","Ambiguous",2,2062,"FALSE","Native 29","Native"
"6313","DashedSentence","Ambiguous",10,3522,"FALSE","Native 29","Native"
"6329","DashedSentence","Unambiguous",9,2236,"FALSE","Native 29","Native"
"6341","DashedSentence","Unambiguous",7,2757,"FALSE","Native 29","Native"
"6345","DashedSentence","Ambiguous",6,4514,"FALSE","Native 29","Native"
"6353","DashedSentence","Unambiguous",11,3085,"FALSE","Native 29","Native"
"6373","DashedSentence","Ambiguous",12,3907,"FALSE","Native 29","Native"
"6401","DashedSentence","Ambiguous",8,6173,"FALSE","Native 29","Native"
"6473","DashedSentence","Unambiguous",1,1931,"FALSE","Native 29","Native"
"6477","DashedSentence","Ambiguous",4,2133,"FALSE","Native 29","Native"
"6489","DashedSentence","Unambiguous",3,3098,"FALSE","Native 29","Native"
"6547","DashedSentence","Ambiguous",9,9441,"FALSE","Native 30","Native"
"6559","DashedSentence","Unambiguous",12,5464,"FALSE","Native 30","Native"
"6595","DashedSentence","Ambiguous",7,5462,"FALSE","Native 30","Native"
"6623","DashedSentence","Unambiguous",8,6190,"FALSE","Native 30","Native"
"6631","DashedSentence","Unambiguous",4,8950,"FALSE","Native 30","Native"
"6643","DashedSentence","Ambiguous",5,6885,"FALSE","Native 30","Native"
"6659","DashedSentence","Unambiguous",2,15428,"FALSE","Native 30","Native"
"6679","DashedSentence","Unambiguous",6,8496,"FALSE","Native 30","Native"
"6687","DashedSentence","Ambiguous",1,9302,"FALSE","Native 30","Native"
"6711","DashedSentence","Ambiguous",11,2287,"FALSE","Native 30","Native"
"6715","DashedSentence","Ambiguous",3,4035,"FALSE","Native 30","Native"
"6719","DashedSentence","Unambiguous",10,13671,"FALSE","Native 30","Native"
"6731","DashedSentence","Unambiguous",1,3235,"FALSE","Native 31","Native"
"6747","DashedSentence","Ambiguous",6,5062,"FALSE","Native 31","Native"
"6787","DashedSentence","Ambiguous",4,6586,"FALSE","Native 31","Native"
"6795","DashedSentence","Unambiguous",11,8500,"FALSE","Native 31","Native"
"6823","DashedSentence","Unambiguous",5,8103,"FALSE","Native 31","Native"
"6835","DashedSentence","Unambiguous",9,6096,"FALSE","Native 31","Native"
"6839","DashedSentence","Ambiguous",12,6795,"FALSE","Native 31","Native"
"6851","DashedSentence","Ambiguous",8,3293,"FALSE","Native 31","Native"
