"","controller","condition","item","rt","NA","subject","group"
"707","DashedSentence","Ambiguous","24",5199,"FALSE","Native 4","Native"
"711","DashedSentence","Unambiguous","21",2770,"FALSE","Native 4","Native"
"719","DashedSentence","Unambiguous","3",3133,"FALSE","Native 4","Native"
"727","DashedSentence","Ambiguous","10",3942,"FALSE","Native 4","Native"
"747","DashedSentence","Ambiguous","4",3090,"FALSE","Native 4","Native"
"759","DashedSentence","Ambiguous","2",2473,"FALSE","Native 4","Native"
"775","DashedSentence","Unambiguous","11",2664,"FALSE","Native 4","Native"
"783","DashedSentence","Ambiguous","14",3002,"FALSE","Native 4","Native"
"787","DashedSentence","Ambiguous","6",1308,"FALSE","Native 4","Native"
"791","DashedSentence","Ambiguous","20",2986,"FALSE","Native 4","Native"
"795","DashedSentence","Unambiguous","19",2188,"FALSE","Native 4","Native"
"799","DashedSentence","Unambiguous","9",2267,"FALSE","Native 4","Native"
"807","DashedSentence","Ambiguous","16",3278,"FALSE","Native 4","Native"
"811","DashedSentence","Ambiguous","18",2807,"FALSE","Native 4","Native"
"819","DashedSentence","Unambiguous","5",1729,"FALSE","Native 4","Native"
"839","DashedSentence","Ambiguous","22",2137,"FALSE","Native 4","Native"
"847","DashedSentence","Unambiguous","1",1649,"FALSE","Native 4","Native"
"851","DashedSentence","Unambiguous","7",2301,"FALSE","Native 4","Native"
"863","DashedSentence","Unambiguous","15",3704,"FALSE","Native 4","Native"
"871","DashedSentence","Unambiguous","13",2362,"FALSE","Native 4","Native"
"875","DashedSentence","Ambiguous","12",2335,"FALSE","Native 4","Native"
"915","DashedSentence","Unambiguous","14",4302,"FALSE","Native 5","Native"
"923","DashedSentence","Ambiguous","15",4716,"FALSE","Native 5","Native"
"927","DashedSentence","Ambiguous","23",3709,"FALSE","Native 5","Native"
"931","DashedSentence","Unambiguous","22",2819,"FALSE","Native 5","Native"
"943","DashedSentence","Unambiguous","24",3768,"FALSE","Native 5","Native"
"951","DashedSentence","Ambiguous","19",3243,"FALSE","Native 5","Native"
"955","DashedSentence","Ambiguous","3",4582,"FALSE","Native 5","Native"
"959","DashedSentence","Unambiguous","12",3674,"FALSE","Native 5","Native"
"963","DashedSentence","Ambiguous","13",6551,"FALSE","Native 5","Native"
"987","DashedSentence","Ambiguous","9",3446,"FALSE","Native 5","Native"
"995","DashedSentence","Unambiguous","2",3111,"FALSE","Native 5","Native"
"1015","DashedSentence","Unambiguous","8",4134,"FALSE","Native 5","Native"
"1027","DashedSentence","Ambiguous","5",2344,"FALSE","Native 5","Native"
"1031","DashedSentence","Ambiguous","11",4889,"FALSE","Native 5","Native"
"1047","DashedSentence","Ambiguous","1",2767,"FALSE","Native 5","Native"
"1051","DashedSentence","Unambiguous","6",2879,"FALSE","Native 5","Native"
"1055","DashedSentence","Unambiguous","18",2660,"FALSE","Native 5","Native"
"1063","DashedSentence","Ambiguous","17",6413,"FALSE","Native 5","Native"
"1067","DashedSentence","Unambiguous","20",3292,"FALSE","Native 5","Native"
"1071","DashedSentence","Unambiguous","4",2098,"FALSE","Native 5","Native"
"1087","DashedSentence","Unambiguous","10",3044,"FALSE","Native 5","Native"
"1095","DashedSentence","Ambiguous","7",7072,"FALSE","Native 5","Native"
"1099","DashedSentence","Unambiguous","16",2075,"FALSE","Native 5","Native"
"1103","DashedSentence","Ambiguous","21",5357,"FALSE","Native 5","Native"
"1139","DashedSentence","Ambiguous","10",1960,"FALSE","Native 6","Native"
"1143","DashedSentence","Ambiguous","22",1830,"FALSE","Native 6","Native"
"1147","DashedSentence","Unambiguous","5",1751,"FALSE","Native 6","Native"
"1155","DashedSentence","Ambiguous","16",1956,"FALSE","Native 6","Native"
"1167","DashedSentence","Unambiguous","7",1141,"FALSE","Native 6","Native"
"1171","DashedSentence","Unambiguous","3",1667,"FALSE","Native 6","Native"
"1179","DashedSentence","Ambiguous","24",1310,"FALSE","Native 6","Native"
"1191","DashedSentence","Unambiguous","15",1909,"FALSE","Native 6","Native"
"1207","DashedSentence","Ambiguous","18",1425,"FALSE","Native 6","Native"
"1215","DashedSentence","Unambiguous","23",1568,"FALSE","Native 6","Native"
"1227","DashedSentence","Ambiguous","2",1387,"FALSE","Native 6","Native"
"1239","DashedSentence","Unambiguous","13",1808,"FALSE","Native 6","Native"
"1247","DashedSentence","Ambiguous","14",1740,"FALSE","Native 6","Native"
"1259","DashedSentence","Ambiguous","4",1589,"FALSE","Native 6","Native"
"1263","DashedSentence","Unambiguous","11",2461,"FALSE","Native 6","Native"
"1271","DashedSentence","Unambiguous","19",954,"FALSE","Native 6","Native"
"1275","DashedSentence","Unambiguous","1",1983,"FALSE","Native 6","Native"
"1287","DashedSentence","Ambiguous","6",2334,"FALSE","Native 6","Native"
"1291","DashedSentence","Unambiguous","9",2178,"FALSE","Native 6","Native"
"1303","DashedSentence","Ambiguous","20",1857,"FALSE","Native 6","Native"
"1315","DashedSentence","Ambiguous","8",1357,"FALSE","Native 6","Native"
"1323","DashedSentence","Unambiguous","21",2211,"FALSE","Native 6","Native"
"1335","DashedSentence","Ambiguous","12",1746,"FALSE","Native 6","Native"
"1343","DashedSentence","Unambiguous","17",1389,"FALSE","Native 6","Native"
"1353","DashedSentence","Ambiguous","3",2906,"FALSE","Native 7","Native"
"1369","DashedSentence","Ambiguous","23",3124,"FALSE","Native 7","Native"
"1373","DashedSentence","Ambiguous","21",2703,"FALSE","Native 7","Native"
"1377","DashedSentence","Ambiguous","7",4971,"FALSE","Native 7","Native"
"1381","DashedSentence","Unambiguous","8",4083,"FALSE","Native 7","Native"
"1385","DashedSentence","Unambiguous","20",2125,"FALSE","Native 7","Native"
"1393","DashedSentence","Unambiguous","6",1480,"FALSE","Native 7","Native"
"1405","DashedSentence","Ambiguous","17",3697,"FALSE","Native 7","Native"
"1433","DashedSentence","Unambiguous","4",1779,"FALSE","Native 7","Native"
"1441","DashedSentence","Ambiguous","5",3551,"FALSE","Native 7","Native"
"1449","DashedSentence","Ambiguous","19",4195,"FALSE","Native 7","Native"
"1457","DashedSentence","Ambiguous","1",2525,"FALSE","Native 7","Native"
"1461","DashedSentence","Unambiguous","12",2845,"FALSE","Native 7","Native"
"1469","DashedSentence","Ambiguous","13",4867,"FALSE","Native 7","Native"
"1473","DashedSentence","Unambiguous","14",1988,"FALSE","Native 7","Native"
"1477","DashedSentence","Ambiguous","9",4688,"FALSE","Native 7","Native"
"1485","DashedSentence","Unambiguous","22",2087,"FALSE","Native 7","Native"
"1493","DashedSentence","Ambiguous","11",3330,"FALSE","Native 7","Native"
"1505","DashedSentence","Unambiguous","24",2253,"FALSE","Native 7","Native"
"1513","DashedSentence","Ambiguous","15",2455,"FALSE","Native 7","Native"
"1525","DashedSentence","Unambiguous","2",1653,"FALSE","Native 7","Native"
"1537","DashedSentence","Unambiguous","10",1569,"FALSE","Native 7","Native"
"1541","DashedSentence","Unambiguous","16",2332,"FALSE","Native 7","Native"
"1565","DashedSentence","Unambiguous","18",5065,"FALSE","Native 7","Native"
"1577","DashedSentence","Unambiguous","9",6168,"FALSE","Native 8","Native"
"1593","DashedSentence","Ambiguous","18",8228,"FALSE","Native 8","Native"
"1625","DashedSentence","Ambiguous","16",5439,"FALSE","Native 8","Native"
"1629","DashedSentence","Ambiguous","24",7220,"FALSE","Native 8","Native"
"1633","DashedSentence","Ambiguous","12",6143,"FALSE","Native 8","Native"
"1637","DashedSentence","Unambiguous","19",4851,"FALSE","Native 8","Native"
"1641","DashedSentence","Ambiguous","4",3792,"FALSE","Native 8","Native"
"1645","DashedSentence","Ambiguous","14",9080,"FALSE","Native 8","Native"
"1661","DashedSentence","Ambiguous","10",4211,"FALSE","Native 8","Native"
"1665","DashedSentence","Ambiguous","2",2586,"FALSE","Native 8","Native"
"1669","DashedSentence","Unambiguous","7",3007,"FALSE","Native 8","Native"
"1685","DashedSentence","Unambiguous","21",2842,"FALSE","Native 8","Native"
"1689","DashedSentence","Unambiguous","5",3223,"FALSE","Native 8","Native"
"1701","DashedSentence","Unambiguous","17",2849,"FALSE","Native 8","Native"
"1713","DashedSentence","Unambiguous","11",3533,"FALSE","Native 8","Native"
"1721","DashedSentence","Ambiguous","22",5132,"FALSE","Native 8","Native"
"1725","DashedSentence","Unambiguous","15",3633,"FALSE","Native 8","Native"
"1737","DashedSentence","Unambiguous","3",3302,"FALSE","Native 8","Native"
"1745","DashedSentence","Ambiguous","8",2681,"FALSE","Native 8","Native"
"1749","DashedSentence","Ambiguous","20",2499,"FALSE","Native 8","Native"
"1753","DashedSentence","Unambiguous","13",3453,"FALSE","Native 8","Native"
"1781","DashedSentence","Unambiguous","23",3323,"FALSE","Native 8","Native"
"1785","DashedSentence","Ambiguous","6",3151,"FALSE","Native 8","Native"
"1789","DashedSentence","Unambiguous","1",2322,"FALSE","Native 8","Native"
"1809","DashedSentence","Unambiguous","20",2730,"FALSE","Native 9","Native"
"1817","DashedSentence","Ambiguous","5",4896,"FALSE","Native 9","Native"
"1829","DashedSentence","Ambiguous","7",6145,"FALSE","Native 9","Native"
"1841","DashedSentence","Ambiguous","19",5686,"FALSE","Native 9","Native"
"1845","DashedSentence","Unambiguous","12",2118,"FALSE","Native 9","Native"
"1849","DashedSentence","Ambiguous","3",5320,"FALSE","Native 9","Native"
"1869","DashedSentence","Unambiguous","10",1812,"FALSE","Native 9","Native"
"1881","DashedSentence","Unambiguous","14",2752,"FALSE","Native 9","Native"
"1885","DashedSentence","Unambiguous","18",3873,"FALSE","Native 9","Native"
"1901","DashedSentence","Ambiguous","13",3598,"FALSE","Native 9","Native"
"1909","DashedSentence","Ambiguous","21",4427,"FALSE","Native 9","Native"
"1921","DashedSentence","Ambiguous","9",1977,"FALSE","Native 9","Native"
"1925","DashedSentence","Unambiguous","4",2697,"FALSE","Native 9","Native"
"1933","DashedSentence","Ambiguous","15",3190,"FALSE","Native 9","Native"
"1937","DashedSentence","Unambiguous","6",1869,"FALSE","Native 9","Native"
"1945","DashedSentence","Unambiguous","22",2029,"FALSE","Native 9","Native"
"1965","DashedSentence","Unambiguous","8",1823,"FALSE","Native 9","Native"
"1969","DashedSentence","Ambiguous","11",2087,"FALSE","Native 9","Native"
"1973","DashedSentence","Unambiguous","2",2522,"FALSE","Native 9","Native"
"1981","DashedSentence","Ambiguous","17",3459,"FALSE","Native 9","Native"
"1985","DashedSentence","Unambiguous","16",2999,"FALSE","Native 9","Native"
"1997","DashedSentence","Unambiguous","24",2891,"FALSE","Native 9","Native"
"2001","DashedSentence","Ambiguous","1",2205,"FALSE","Native 9","Native"
"2005","DashedSentence","Ambiguous","23",2396,"FALSE","Native 9","Native"
"2027","DashedSentence","Ambiguous","14",2903,"FALSE","Native 10","Native"
"2031","DashedSentence","Unambiguous","7",7909,"FALSE","Native 10","Native"
"2035","DashedSentence","Unambiguous","19",5150,"FALSE","Native 10","Native"
"2043","DashedSentence","Unambiguous","9",4332,"FALSE","Native 10","Native"
"2055","DashedSentence","Ambiguous","4",4641,"FALSE","Native 10","Native"
"2063","DashedSentence","Ambiguous","8",4792,"FALSE","Native 10","Native"
"2067","DashedSentence","Unambiguous","5",2817,"FALSE","Native 10","Native"
"2075","DashedSentence","Ambiguous","6",4010,"FALSE","Native 10","Native"
"2079","DashedSentence","Unambiguous","1",3675,"FALSE","Native 10","Native"
"2099","DashedSentence","Unambiguous","21",2878,"FALSE","Native 10","Native"
"2103","DashedSentence","Ambiguous","2",3782,"FALSE","Native 10","Native"
"2115","DashedSentence","Ambiguous","16",4458,"FALSE","Native 10","Native"
"2131","DashedSentence","Ambiguous","12",3593,"FALSE","Native 10","Native"
"2143","DashedSentence","Unambiguous","17",6331,"FALSE","Native 10","Native"
"2155","DashedSentence","Unambiguous","13",2438,"FALSE","Native 10","Native"
"2163","DashedSentence","Unambiguous","3",2105,"FALSE","Native 10","Native"
"2167","DashedSentence","Ambiguous","18",6906,"FALSE","Native 10","Native"
"2183","DashedSentence","Ambiguous","10",3837,"FALSE","Native 10","Native"
"2191","DashedSentence","Ambiguous","22",4296,"FALSE","Native 10","Native"
"2203","DashedSentence","Ambiguous","24",5298,"FALSE","Native 10","Native"
"2219","DashedSentence","Unambiguous","11",4394,"FALSE","Native 10","Native"
"2227","DashedSentence","Unambiguous","23",3342,"FALSE","Native 10","Native"
"2231","DashedSentence","Unambiguous","15",2616,"FALSE","Native 10","Native"
"2239","DashedSentence","Ambiguous","20",2879,"FALSE","Native 10","Native"
"2255","DashedSentence","Unambiguous","10",5914,"FALSE","Native 11","Native"
"2259","DashedSentence","Ambiguous","3",10419,"FALSE","Native 11","Native"
"2267","DashedSentence","Unambiguous","20",2681,"FALSE","Native 11","Native"
"2291","DashedSentence","Unambiguous","6",3224,"FALSE","Native 11","Native"
"2303","DashedSentence","Unambiguous","24",2029,"FALSE","Native 11","Native"
"2311","DashedSentence","Ambiguous","5",6742,"FALSE","Native 11","Native"
"2323","DashedSentence","Ambiguous","7",6634,"FALSE","Native 11","Native"
"2327","DashedSentence","Ambiguous","11",8469,"FALSE","Native 11","Native"
"2335","DashedSentence","Unambiguous","18",3871,"FALSE","Native 11","Native"
"2351","DashedSentence","Ambiguous","23",6392,"FALSE","Native 11","Native"
"2355","DashedSentence","Ambiguous","17",5143,"FALSE","Native 11","Native"
"2363","DashedSentence","Unambiguous","4",2527,"FALSE","Native 11","Native"
"2371","DashedSentence","Ambiguous","21",6526,"FALSE","Native 11","Native"
"2379","DashedSentence","Unambiguous","22",3508,"FALSE","Native 11","Native"
"2383","DashedSentence","Ambiguous","13",7270,"FALSE","Native 11","Native"
"2391","DashedSentence","Unambiguous","16",3427,"FALSE","Native 11","Native"
"2399","DashedSentence","Ambiguous","15",4992,"FALSE","Native 11","Native"
"2407","DashedSentence","Unambiguous","14",2621,"FALSE","Native 11","Native"
"2419","DashedSentence","Ambiguous","19",6673,"FALSE","Native 11","Native"
"2427","DashedSentence","Ambiguous","1",4399,"FALSE","Native 11","Native"
"2431","DashedSentence","Unambiguous","8",3318,"FALSE","Native 11","Native"
"2447","DashedSentence","Unambiguous","2",2608,"FALSE","Native 11","Native"
"2455","DashedSentence","Ambiguous","9",3900,"FALSE","Native 11","Native"
"2463","DashedSentence","Unambiguous","12",3143,"FALSE","Native 11","Native"
"2475","DashedSentence","Ambiguous","6",2932,"FALSE","Native 12","Native"
"2495","DashedSentence","Unambiguous","21",4510,"FALSE","Native 12","Native"
"2507","DashedSentence","Unambiguous","15",4252,"FALSE","Native 12","Native"
"2511","DashedSentence","Unambiguous","9",4061,"FALSE","Native 12","Native"
"2519","DashedSentence","Unambiguous","7",4727,"FALSE","Native 12","Native"
"2523","DashedSentence","Unambiguous","5",7298,"FALSE","Native 12","Native"
"2527","DashedSentence","Ambiguous","8",3474,"FALSE","Native 12","Native"
"2539","DashedSentence","Ambiguous","14",5971,"FALSE","Native 12","Native"
"2543","DashedSentence","Ambiguous","20",3929,"FALSE","Native 12","Native"
"2555","DashedSentence","Ambiguous","18",3992,"FALSE","Native 12","Native"
"2559","DashedSentence","Ambiguous","4",4599,"FALSE","Native 12","Native"
"2563","DashedSentence","Ambiguous","2",5589,"FALSE","Native 12","Native"
"2595","DashedSentence","Unambiguous","23",2255,"FALSE","Native 12","Native"
"2607","DashedSentence","Ambiguous","24",5270,"FALSE","Native 12","Native"
"2615","DashedSentence","Unambiguous","3",3073,"FALSE","Native 12","Native"
"2623","DashedSentence","Unambiguous","13",3091,"FALSE","Native 12","Native"
"2627","DashedSentence","Unambiguous","11",4530,"FALSE","Native 12","Native"
"2631","DashedSentence","Unambiguous","1",2463,"FALSE","Native 12","Native"
"2635","DashedSentence","Ambiguous","10",4286,"FALSE","Native 12","Native"
"2639","DashedSentence","Ambiguous","16",4809,"FALSE","Native 12","Native"
"2647","DashedSentence","Ambiguous","12",4324,"FALSE","Native 12","Native"
"2655","DashedSentence","Ambiguous","22",6059,"FALSE","Native 12","Native"
"2667","DashedSentence","Unambiguous","19",1922,"FALSE","Native 12","Native"
"2671","DashedSentence","Unambiguous","17",2730,"FALSE","Native 12","Native"
"2701","DashedSentence","Ambiguous","17",3553,"FALSE","Native 13","Native"
"2713","DashedSentence","Ambiguous","23",4560,"FALSE","Native 13","Native"
"2721","DashedSentence","Ambiguous","5",2604,"FALSE","Native 13","Native"
"2725","DashedSentence","Unambiguous","8",3498,"FALSE","Native 13","Native"
"2729","DashedSentence","Unambiguous","24",2741,"FALSE","Native 13","Native"
"2733","DashedSentence","Unambiguous","22",2804,"FALSE","Native 13","Native"
"2749","DashedSentence","Ambiguous","9",2597,"FALSE","Native 13","Native"
"2753","DashedSentence","Unambiguous","12",2438,"FALSE","Native 13","Native"
"2765","DashedSentence","Unambiguous","4",1752,"FALSE","Native 13","Native"
"2773","DashedSentence","Ambiguous","7",1932,"FALSE","Native 13","Native"
"2777","DashedSentence","Ambiguous","19",3281,"FALSE","Native 13","Native"
"2797","DashedSentence","Ambiguous","21",2071,"FALSE","Native 13","Native"
"2801","DashedSentence","Unambiguous","14",1584,"FALSE","Native 13","Native"
"2805","DashedSentence","Unambiguous","18",1549,"FALSE","Native 13","Native"
"2813","DashedSentence","Unambiguous","6",5619,"FALSE","Native 13","Native"
"2829","DashedSentence","Unambiguous","16",2281,"FALSE","Native 13","Native"
"2833","DashedSentence","Ambiguous","3",5440,"FALSE","Native 13","Native"
"2837","DashedSentence","Ambiguous","1",1874,"FALSE","Native 13","Native"
"2845","DashedSentence","Ambiguous","11",3221,"FALSE","Native 13","Native"
"2853","DashedSentence","Unambiguous","20",1653,"FALSE","Native 13","Native"
"2857","DashedSentence","Ambiguous","15",4208,"FALSE","Native 13","Native"
"2865","DashedSentence","Unambiguous","2",1943,"FALSE","Native 13","Native"
"2873","DashedSentence","Unambiguous","10",1849,"FALSE","Native 13","Native"
"2881","DashedSentence","Ambiguous","13",3077,"FALSE","Native 13","Native"
"2927","DashedSentence","Unambiguous","11",3800,"FALSE","Native 14","Native"
"2931","DashedSentence","Unambiguous","15",5871,"FALSE","Native 14","Native"
"2935","DashedSentence","Unambiguous","21",5362,"FALSE","Native 14","Native"
"2939","DashedSentence","Unambiguous","23",5429,"FALSE","Native 14","Native"
"2951","DashedSentence","Ambiguous","18",5723,"FALSE","Native 14","Native"
"2955","DashedSentence","Unambiguous","5",3256,"FALSE","Native 14","Native"
"2967","DashedSentence","Unambiguous","17",8143,"FALSE","Native 14","Native"
"2979","DashedSentence","Ambiguous","10",7639,"FALSE","Native 14","Native"
"2983","DashedSentence","Ambiguous","2",5078,"FALSE","Native 14","Native"
"2987","DashedSentence","Unambiguous","13",6695,"FALSE","Native 14","Native"
"3003","DashedSentence","Ambiguous","20",9141,"FALSE","Native 14","Native"
"3007","DashedSentence","Ambiguous","8",3581,"FALSE","Native 14","Native"
"3011","DashedSentence","Ambiguous","6",3874,"FALSE","Native 14","Native"
"3019","DashedSentence","Ambiguous","24",7983,"FALSE","Native 14","Native"
"3027","DashedSentence","Ambiguous","14",8520,"FALSE","Native 14","Native"
"3031","DashedSentence","Unambiguous","9",3085,"FALSE","Native 14","Native"
"3043","DashedSentence","Unambiguous","19",3571,"FALSE","Native 14","Native"
"3075","DashedSentence","Unambiguous","3",3881,"FALSE","Native 14","Native"
"3079","DashedSentence","Ambiguous","12",6793,"FALSE","Native 14","Native"
"3087","DashedSentence","Ambiguous","22",5425,"FALSE","Native 14","Native"
"3091","DashedSentence","Ambiguous","16",4120,"FALSE","Native 14","Native"
"3099","DashedSentence","Ambiguous","4",4289,"FALSE","Native 14","Native"
"3111","DashedSentence","Unambiguous","7",4231,"FALSE","Native 14","Native"
"3127","DashedSentence","Unambiguous","1",3535,"FALSE","Native 14","Native"
"3157","DashedSentence","Unambiguous","24",3778,"FALSE","Native 15","Native"
"3161","DashedSentence","Ambiguous","11",5314,"FALSE","Native 15","Native"
"3169","DashedSentence","Ambiguous","1",3051,"FALSE","Native 15","Native"
"3177","DashedSentence","Ambiguous","13",4312,"FALSE","Native 15","Native"
"3181","DashedSentence","Ambiguous","9",4443,"FALSE","Native 15","Native"
"3185","DashedSentence","Ambiguous","5",5967,"FALSE","Native 15","Native"
"3205","DashedSentence","Ambiguous","21",4664,"FALSE","Native 15","Native"
"3209","DashedSentence","Ambiguous","23",6693,"FALSE","Native 15","Native"
"3217","DashedSentence","Unambiguous","14",3592,"FALSE","Native 15","Native"
"3221","DashedSentence","Unambiguous","6",3840,"FALSE","Native 15","Native"
"3225","DashedSentence","Unambiguous","2",3346,"FALSE","Native 15","Native"
"3229","DashedSentence","Unambiguous","4",1878,"FALSE","Native 15","Native"
"3233","DashedSentence","Ambiguous","19",3555,"FALSE","Native 15","Native"
"3241","DashedSentence","Ambiguous","7",4529,"FALSE","Native 15","Native"
"3261","DashedSentence","Unambiguous","20",2337,"FALSE","Native 15","Native"
"3265","DashedSentence","Ambiguous","17",4216,"FALSE","Native 15","Native"
"3281","DashedSentence","Unambiguous","8",2784,"FALSE","Native 15","Native"
"3289","DashedSentence","Unambiguous","18",3302,"FALSE","Native 15","Native"
"3293","DashedSentence","Unambiguous","16",3379,"FALSE","Native 15","Native"
"3321","DashedSentence","Unambiguous","10",3209,"FALSE","Native 15","Native"
"3333","DashedSentence","Ambiguous","15",5115,"FALSE","Native 15","Native"
"3341","DashedSentence","Unambiguous","12",3443,"FALSE","Native 15","Native"
"3349","DashedSentence","Unambiguous","22",6441,"FALSE","Native 15","Native"
"3357","DashedSentence","Ambiguous","3",6085,"FALSE","Native 15","Native"
"3373","DashedSentence","Ambiguous","14",8395,"FALSE","Native 16","Native"
"3377","DashedSentence","Ambiguous","4",3754,"FALSE","Native 16","Native"
"3385","DashedSentence","Unambiguous","13",5288,"FALSE","Native 16","Native"
"3389","DashedSentence","Ambiguous","8",5161,"FALSE","Native 16","Native"
"3393","DashedSentence","Ambiguous","20",5710,"FALSE","Native 16","Native"
"3405","DashedSentence","Ambiguous","12",7657,"FALSE","Native 16","Native"
"3413","DashedSentence","Unambiguous","19",4772,"FALSE","Native 16","Native"
"3429","DashedSentence","Unambiguous","9",4390,"FALSE","Native 16","Native"
"3433","DashedSentence","Unambiguous","7",4989,"FALSE","Native 16","Native"
"3437","DashedSentence","Ambiguous","10",10973,"FALSE","Native 16","Native"
